model,prompt_id,variant,filename,filepath,prompt_text
jimeng,p05,C,p05_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p05_C.png,"A mountain landscape at sunset, low-angle view from below, wide shot"
jimeng,p05,D,p05_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p05_D.png,"A mountain landscape at sunset, extreme close-up, shallow depth of field"
jimeng,p06,A,p06_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p06_A.png,"A busy street market in Tokyo at night, top-down overhead view, centered composition"
jimeng,p06,B,p06_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p06_B.png,"A busy street market in Tokyo at night, eye-level front view, medium shot"
jimeng,p06,C,p06_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p06_C.png,"A busy street market in Tokyo at night, low-angle view from below, wide shot"
jimeng,p06,D,p06_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p06_D.png,"A busy street market in Tokyo at night, extreme close-up, shallow depth of field"
jimeng,p07,A,p07_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p07_A.png,"A futuristic city skyline with flying cars, top-down overhead view, centered composition"
jimeng,p07,B,p07_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p07_B.png,"A futuristic city skyline with flying cars, eye-level front view, medium shot"
jimeng,p07,C,p07_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p07_C.png,"A futuristic city skyline with flying cars, low-angle view from below, wide shot"
jimeng,p07,D,p07_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p07_D.png,"A futuristic city skyline with flying cars, extreme close-up, shallow depth of field"
jimeng,p08,A,p08_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p08_A.png,"A medieval castle surrounded by fog, top-down overhead view, centered composition"
jimeng,p08,B,p08_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p08_B.png,"A medieval castle surrounded by fog, eye-level front view, medium shot"
jimeng,p08,C,p08_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p08_C.png,"A medieval castle surrounded by fog, low-angle view from below, wide shot"
jimeng,p08,D,p08_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p08_D.png,"A medieval castle surrounded by fog, extreme close-up, shallow depth of field"
jimeng,p09,A,p09_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p09_A.png,"An underwater coral reef with colorful fish, top-down overhead view, centered composition"
jimeng,p09,B,p09_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p09_B.png,"An underwater coral reef with colorful fish, eye-level front view, medium shot"
jimeng,p09,C,p09_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p09_C.png,"An underwater coral reef with colorful fish, low-angle view from below, wide shot"
jimeng,p09,D,p09_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p09_D.png,"An underwater coral reef with colorful fish, extreme close-up, shallow depth of field"
jimeng,p10,A,p10_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p10_A.png,"A classroom with students taking an exam, top-down overhead view, centered composition"
jimeng,p10,B,p10_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p10_B.png,"A classroom with students taking an exam, eye-level front view, medium shot"
jimeng,p10,C,p10_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p10_C.png,"A classroom with students taking an exam, low-angle view from below, wide shot"
jimeng,p10,D,p10_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p10_D.png,"A classroom with students taking an exam, extreme close-up, shallow depth of field"
jimeng,p11,A,p11_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p11_A.png,"A cyberpunk street with neon lights, top-down overhead view, centered composition"
jimeng,p11,B,p11_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p11_B.png,"A cyberpunk street with neon lights, eye-level front view, medium shot"
jimeng,p11,C,p11_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p11_C.png,"A cyberpunk street with neon lights, low-angle view from below, wide shot"
jimeng,p11,D,p11_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p11_D.png,"A cyberpunk street with neon lights, extreme close-up, shallow depth of field"
jimeng,p12,A,p12_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p12_A.png,"A rainforest waterfall with mist, top-down overhead view, centered composition"
jimeng,p12,B,p12_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p12_B.png,"A rainforest waterfall with mist, eye-level front view, medium shot"
jimeng,p12,C,p12_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p12_C.png,"A rainforest waterfall with mist, low-angle view from below, wide shot"
jimeng,p12,D,p12_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p12_D.png,"A rainforest waterfall with mist, extreme close-up, shallow depth of field"
jimeng,p13,A,p13_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p13_A.png,"A portrait in impressionist painting style, top-down overhead view, centered composition"
jimeng,p13,B,p13_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p13_B.png,"A portrait in impressionist painting style, eye-level front view, medium shot"
jimeng,p13,C,p13_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p13_C.png,"A portrait in impressionist painting style, low-angle view from below, wide shot"
jimeng,p13,D,p13_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p13_D.png,"A portrait in impressionist painting style, extreme close-up, shallow depth of field"
jimeng,p14,A,p14_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p14_A.png,"A surreal dreamscape with floating islands, top-down overhead view, centered composition"
jimeng,p14,B,p14_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p14_B.png,"A surreal dreamscape with floating islands, eye-level front view, medium shot"
jimeng,p14,C,p14_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p14_C.png,"A surreal dreamscape with floating islands, low-angle view from below, wide shot"
jimeng,p14,D,p14_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p14_D.png,"A surreal dreamscape with floating islands, extreme close-up, shallow depth of field"
jimeng,p15,A,p15_A.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p15_A.png,"A minimalist black and white abstract artwork, top-down overhead view, centered composition"
jimeng,p15,B,p15_B.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p15_B.png,"A minimalist black and white abstract artwork, eye-level front view, medium shot"
jimeng,p15,C,p15_C.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p15_C.png,"A minimalist black and white abstract artwork, low-angle view from below, wide shot"
jimeng,p15,D,p15_D.png,C:\Users\31918\Desktop\individual project\dataset\Jimeng\p15_D.png,"A minimalist black and white abstract artwork, extreme close-up, shallow depth of field"
